Gender,UC Student Status,Birthday,Participant Category,University or School Name,Expertise Area,TPA Score,Portofolio Score,Interview Score,Total Score,Accepted
Male,No,12/16/1998,Active Student or Fresh Graduate,"(UPNVY) Universitas Pembangunan Nasional ""VETERAN"" Yogyakarta",Tech / IT / IS,53,73,66,63,No
Male,Yes,7/25/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,20,40,54,36,No
Female,Yes,4/9/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,32,33,56,40,No
Male,Yes,12/2/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,35,20,96,49,No
Female,Yes,8/12/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,58,20,72,51,No
Male,No,7/22/1998,Active Student or Fresh Graduate,(UGM) Universitas Gadjah Mada Yogyakarta,Tech / IT / IS,65,67,76,69,No
Male,No,5/24/1998,Active Student or Fresh Graduate,(USD) Universitas Sanata Dharma Jogjakarta,Tech / IT / IS,48,40,80,55,No
Female,No,11/29/1998,Active Student or Fresh Graduate,(USD) Universitas Sanata Dharma Jogjakarta,Tech / IT / IS,57,53,76,62,No
Male,Yes,2/16/2002,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,30,73,70,55,No
Male,Yes,1/16/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,36,37,50,40,No
Female,Yes,8/2/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,12,37,40,28,No
Female,Yes,6/7/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,53,60,40,51,No
Female,Yes,3/13/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,34,70,56,51,No
Female,Yes,8/15/2002,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,42,50,88,58,No
Female,Yes,6/2/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,43,50,20,38,No
Male,Yes,6/20/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,43,20,70,44,No
Female,Yes,5/3/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,52,20,64,46,No
Female,Yes,10/30/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,46,20,68,45,No
Female,Yes,12/31/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,37,53,56,48,No
Male,Yes,10/3/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,80,80,78,79,No
Male,Yes,4/28/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,43,20,72,45,No
Female,Yes,5/10/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,39,40,80,52,No
Male,Yes,8/17/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,68,67,60,65,No
Female,Yes,2/23/3001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,55,40,68,54,No
Male,Yes,4/28/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,29,40,58,41,No
Male,Yes,3/15/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,22,40,64,40,No
Female,Yes,9/24/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,31,40,70,45,No
Female,Yes,10/13/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,35,63,64,52,No
Male,Yes,6/26/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,55,60,58,57,No
Female,Yes,10/20/1995,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,37,80,56,56,No
Male,Yes,10/19/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,35,50,58,46,No
Female,Yes,6/21/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,39,40,84,53,No
Male,Yes,10/9/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,29,63,78,54,No
Female,Yes,1/10/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,26,20,52,32,No
Female,Yes,1/2/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,41,60,76,57,No
Female,Yes,5/26/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,50,53,74,58,No
Male,Yes,11/24/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,23,20,70,36,No
Female,Yes,6/12/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,47,50,82,58,No
Female,Yes,7/1/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,34,57,68,51,No
Male,Yes,6/4/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,60,60,40,54,No
Male,Yes,1/26/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,28,50,72,48,No
Female,Yes,3/28/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,28,40,44,36,No
Female,Yes,6/17/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,37,20,68,41,No
Female,Yes,3/28/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,29,37,60,41,No
Male,Yes,8/5/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,59,60,56,58,No
Female,Yes,10/5/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,39,40,56,44,No
Female,Yes,7/4/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,69,60,72,67,No
Female,Yes,12/13/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,41,50,90,58,No
Male,Yes,3/25/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,32,40,86,51,No
Male,Yes,9/9/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,76,67,68,71,No
Male,Yes,2/5/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,77,67,52,66,No
Female,Yes,11/18/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,29,20,70,39,No
Male,Yes,7/31/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,44,20,92,51,No
Female,Yes,10/25/1996,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,42,40,60,47,No
Female,Yes,6/25/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,31,63,68,52,No
Female,Yes,9/21/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,18,53,68,44,No
Female,Yes,7/19/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,39,63,54,51,No
Female,Yes,5/12/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,35,20,64,39,No
Male,Yes,7/9/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,34,40,78,49,No
Male,Yes,6/14/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,31,27,68,41,No
Male,Yes,3/9/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,48,33,56,46,No
Female,Yes,4/14/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,40,40,74,50,No
Male,Yes,4/6/1996,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,35,20,68,40,No
Female,Yes,8/11/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,56,87,60,66,No
Female,Yes,9/22/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,44,60,70,57,No
Female,Yes,7/29/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,39,40,66,47,No
Male,Yes,5/21/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,56,73,84,70,No
Female,Yes,3/25/2002,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,69,67,58,65,No
Female,Yes,6/28/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,28,63,62,49,No
Male,Yes,2/22/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,76,67,72,72,No
Male,Yes,1/27/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,46,60,64,56,No
Female,Yes,9/15/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,24,50,74,47,No
Female,Yes,12/7/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,47,20,72,46,No
Male,Yes,9/12/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,37,40,82,51,No
Female,Yes,2/22/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,42,20,76,46,No
Male,Yes,7/17/1996,Professional Workers,(UC) Universitas Ciputra Surabaya,Domain Expert,50,20,80,50,No
Male,Yes,6/17/2002,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,78,67,64,70,No
Female,Yes,4/15/2002,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,41,40,70,49,No
Female,Yes,10/24/1995,Professional Workers,(UC) Universitas Ciputra Surabaya,Domain Expert,28,40,84,48,No
Female,Yes,4/4/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,53,47,66,55,No
Female,Yes,9/18/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,40,40,74,50,No
Male,Yes,9/30/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,47,40,56,48,No
Male,Yes,8/22/1995,Professional Workers,(UC) Universitas Ciputra Surabaya,Design,46,43,90,58,No
Female,Yes,12/2/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,35,57,84,56,No
Female,Yes,10/3/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,39,20,74,44,No
Male,Yes,2/11/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,41,50,74,54,No
Male,Yes,2/3/1994,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,24,27,66,37,No
Male,Yes,11/20/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,40,67,52,52,No
Male,Yes,8/10/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,50,60,80,62,No
Female,Yes,10/13/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,41,20,72,44,No
Male,Yes,4/26/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,32,20,64,38,No
Male,Yes,11/11/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,79,60,54,66,No
Female,Yes,12/24/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,30,20,76,41,No
Female,Yes,3/1/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,56,40,60,52,No
Male,Yes,3/20/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,65,20,60,50,No
Male,Yes,7/11/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,21,40,72,42,No
Male,Yes,2/2/1996,Professional Workers,(UC) Universitas Ciputra Surabaya,Design,32,50,80,52,No
Female,Yes,11/26/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,34,20,48,34,No
Female,Yes,5/9/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,31,40,74,47,No
Female,Yes,5/6/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,35,30,62,42,No
Male,Yes,2/15/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,48,47,62,52,No
Female,Yes,7/23/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,25,20,68,36,No
Male,Yes,12/14/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,35,20,70,41,No
Female,Yes,7/23/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,21,40,62,39,No
Male,Yes,7/18/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,30,40,46,38,No
Female,Yes,6/5/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,49,63,66,58,No
Male,Yes,11/7/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,74,73,84,77,No
Female,Yes,10/23/1996,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,34,63,44,46,No
Male,Yes,7/11/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,60,60,62,61,No
Female,Yes,6/9/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,27,20,78,40,No
Male,Yes,3/3/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,64,60,40,56,No
Male,Yes,6/25/1993,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,23,40,66,41,No
Male,Yes,10/30/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,40,60,78,57,No
Female,Yes,4/6/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,45,20,78,47,No
Male,Yes,2/27/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,40,63,54,51,No
Male,No,6/8/2000,Active Student or Fresh Graduate,(ITS) Institut Teknologi Sepuluh Nopember Surabaya,Tech / IT / IS,54,27,60,48,No
Male,No,2/23/1996,Active Student or Fresh Graduate,(PENS) Politeknik Elektronika Negeri Surabaya,Design,52,53,44,50,No
Female,Yes,12/14/1996,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,30,30,58,38,No
Male,Yes,4/10/2002,Active Student or Fresh Graduate,SMA Methodist Berastagi,Tech / IT / IS,66,73,84,74,No
Female,No,3/15/1998,Active Student or Fresh Graduate,(UNDIP) Universitas Diponegoro,Tech / IT / IS,58,33,62,52,No
Female,Yes,11/17/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,37,53,52,46,No
Male,No,4/20/2002,Active Student or Fresh Graduate,SMK NEGERI 4 BEKASI,Tech / IT / IS,53,60,66,59,No
Male,No,1/9/1999,Active Student or Fresh Graduate,(UGM) Universitas Gadjah Mada Yogyakarta,Tech / IT / IS,63,27,64,52,No
Male,No,7/27/1999,Active Student or Fresh Graduate,Universitas Udayana,Tech / IT / IS,66,53,60,60,No
Female,Yes,5/10/2002,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,21,20,68,35,No
Male,Yes,8/26/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,31,50,44,41,No
Male,No,5/9/2002,Active Student or Fresh Graduate,,Tech / IT / IS,54,40,42,46,No
Female,No,3/10/1999,Active Student or Fresh Graduate,Universitas Pelita Harapan Surabaya Campus,Tech / IT / IS,68,40,54,55,No
Female,No,8/22/1997,Active Student or Fresh Graduate,"(UMN) Universitas Multimedia Nusantara, Serpong, Tangerang",Design,47,63,80,62,No
Male,No,8/20/2001,Active Student or Fresh Graduate,Institut Teknologi dan Bisnis Asia Malang,Design,50,50,72,57,No
Male,No,7/8/1998,Active Student or Fresh Graduate,(ITB) Institut Teknologi Bandung,Tech / IT / IS,68,47,74,63,No
Male,Yes,9/12/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,44,20,86,49,No
Female,No,10/16/1996,Professional Workers,Universitas Kristen Petra,Design,48,63,68,59,No
Female,No,7/20/1998,Active Student or Fresh Graduate,(UNAIR) Universitas Airlangga,Domain Expert,51,40,58,50,No
Male,No,11/6/1992,Professional Workers,Universitas Katolik Parahyangan,Design,42,50,58,49,No
Male,No,4/20/1993,Professional Workers,Politeknik Elektronika Negeri Surabaya,Tech / IT / IS,64,53,52,57,No
Female,No,4/19/1999,Active Student or Fresh Graduate,Politeknik Negeri Medan,Design,48,60,52,53,No
Male,No,7/25/1997,Professional Workers,Universitas Trunojoyo Madura,Tech / IT / IS,53,67,52,57,No
Female,Yes,3/14/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,25,40,68,42,No
Male,No,4/15/1996,Active Student or Fresh Graduate,Coventry University,Tech / IT / IS,59,40,66,55,No
Female,No,9/10/1998,Active Student or Fresh Graduate,(UAJY) Universitas Atmajaya Jogjakarta,Design,51,50,78,59,No
Male,No,10/28/2000,Active Student or Fresh Graduate,STMIK Miikroskil Medan,Design,47,33,48,43,No
Male,No,3/21/1999,Active Student or Fresh Graduate,(UNAIR) Universitas Airlangga,Design,53,60,48,54,No
Female,No,5/12/1993,Active Student or Fresh Graduate,Universitas Kristen Petra,Domain Expert,41,40,70,49,No
Male,No,8/16/1994,Active Student or Fresh Graduate,SMKN 1 KOTABARU,Tech / IT / IS,53,60,56,56,No
Male,No,6/21/1999,Professional Workers,Binus University,Tech / IT / IS,51,73,64,62,No
Female,No,12/22/2001,Active Student or Fresh Graduate,SMA KR MASA DEPAN CERAH SURABAYA,Domain Expert,47,20,72,46,No
Female,No,7/18/2000,Active Student or Fresh Graduate,,Design,58,50,64,57,No
Male,No,10/20/1996,Active Student or Fresh Graduate,Universitas Andalas,Tech / IT / IS,55,20,28,36,No
Female,No,10/21/2000,Active Student or Fresh Graduate,Universitas Katolik Widya Mandala Surabaya,Design,42,40,56,46,No
Female,Yes,4/17/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,53,20,48,42,No
Male,No,1/23/1999,Active Student or Fresh Graduate,(UNPAD) Universitas Padjadjaran,Tech / IT / IS,63,60,76,66,No
Male,No,12/6/2001,Active Student or Fresh Graduate,Universitas Kristen Petra,Tech / IT / IS,79,47,56,62,No
Male,Yes,7/13/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,45,20,66,44,No
Female,Yes,8/24/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,25,53,70,47,No
Male,No,5/18/1995,Professional Workers,Stikom,Domain Expert,42,40,64,48,No
Female,Yes,5/28/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,20,17,48,27,No
Female,Yes,7/6/1999,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,39,40,72,49,No
Male,No,11/14/1988,Professional Workers,STIKOM SURABAYA (UNDIKA),Domain Expert,52,60,94,67,No
Female,No,11/15/1999,Active Student or Fresh Graduate,Universitas Airlangga (UNAIR),Design,44,33,46,41,No
Male,No,3/13/1998,Active Student or Fresh Graduate,Universitas Maduran,Tech / IT / IS,51,20,20,32,No
Male,Yes,12/17/2002,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,33,37,48,39,No
Female,No,9/25/1993,Professional Workers,"Taylor's University, Malaysia",Domain Expert,47,40,50,46,No
Male,Yes,7/9/2002,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,43,40,66,49,No
Female,Yes,12/12/1996,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,44,20,58,41,No
Male,No,1/27/1997,Active Student or Fresh Graduate,Institut Teknologi Sepuluh Nopember,Design,45,70,66,59,No
Male,No,6/10/1994,Professional Workers,(UKP) Universitas Kristen Petra,Domain Expert,40,40,72,50,No
Male,No,1/15/1996,Professional Workers,(iSTTS) Institut Sains dan Teknologi Terpadu Surabaya,Tech / IT / IS,57,47,78,60,No
Male,No,10/15/1999,Active Student or Fresh Graduate,(UNPAD) Universitas Padjadjaran,Domain Expert,54,20,60,46,No
Male,No,12/16/1999,Active Student or Fresh Graduate,Politeknik Unggulan Kalimantan,Tech / IT / IS,65,20,60,50,No
Male,No,8/31/1990,Professional Workers,University Technical Malaysia Melaka (UTeM),Tech / IT / IS,75,80,86,80,No
Male,No,10/4/1997,Professional Workers,,Design,50,50,65,54,No
Male,No,8/15/2001,Active Student or Fresh Graduate,Universitas 17 Agustus 1945 Surabaya,Tech / IT / IS,65,40,70,59,No
Male,No,11/18/1999,Active Student or Fresh Graduate,Universitas Dian Nuswantoro Semarang,Tech / IT / IS,54,60,60,58,No
Male,No,11/10/1985,Active Student or Fresh Graduate,SMUN 27,Tech / IT / IS,57,47,56,54,No
Female,Yes,1/17/1997,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,40,20,48,36,No
Male,No,2/4/1999,Active Student or Fresh Graduate,(UB) Universitas Brawijaya Malang,Tech / IT / IS,70,53,64,63,No
Female,Yes,3/5/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,25,57,62,46,No
Male,No,1/29/1999,Active Student or Fresh Graduate,Institut Sains dan Teknologi Terpadu Surabaya (iSTTS),Tech / IT / IS,69,60,62,64,No
Female,No,3/5/2000,Active Student or Fresh Graduate,(ITS) Institut Teknologi Sepuluh Nopember,Domain Expert,53,20,68,48,No
Female,No,3/13/1995,Professional Workers,Universitas Terbuka,Domain Expert,45,20,72,46,No
Female,Yes,7/1/2000,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,43,50,62,51,No
Male,No,4/20/1995,Professional Workers,Universitas Surabaya,Tech / IT / IS,50,67,68,60,No
Male,No,10/8/1997,Active Student or Fresh Graduate,Universitas Internasional Semen Indonesia,Tech / IT / IS,54,73,64,63,No
Male,No,6/8/1999,Active Student or Fresh Graduate,UNESA,Design,46,47,44,46,No
Male,No,5/13/1995,Professional Workers,Universitas Dinamika Surabaya,Tech / IT / IS,50,40,58,49,No
Male,No,11/17/2000,Active Student or Fresh Graduate,(ISTTS) Institut Sains dan Teknologi Terpadu Surabaya,Tech / IT / IS,82,67,52,68,No
Male,No,1/7/2000,Active Student or Fresh Graduate,Universitas Bina Nusantara Malang,Tech / IT / IS,53,40,74,55,No
Female,Yes,12/25/1995,Professional Workers,(UC) Universitas Ciputra Surabaya,Domain Expert,37,40,66,47,No
Female,No,10/10/2001,Active Student or Fresh Graduate,INSTITUT TEKNOLOGI DAN BISNIS ASIA MALANG,Domain Expert,49,40,68,52,No
Male,No,12/7/1994,Professional Workers,Singapore Institute of Management,Domain Expert,45,40,66,50,No
Female,Yes,2/16/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Domain Expert,22,20,64,34,No
Female,No,2/6/1997,Active Student or Fresh Graduate,Institut Teknologi Sepuluh Nopember (ITS),Tech / IT / IS,50,47,60,52,No
Male,No,5/5/1999,Active Student or Fresh Graduate,Deakin University,Tech / IT / IS,68,47,58,59,No
Male,No,5/31/1997,Professional Workers,Telkom University,Tech / IT / IS,78,73,82,78,No
Male,No,1/7/1989,Professional Workers,Universitas Negeri Surabaya,Tech / IT / IS,56,47,54,53,No
Female,No,3/19/1999,Active Student or Fresh Graduate,UIN Sunan Ampel Surabaya,Tech / IT / IS,58,27,60,49,No
Male,No,4/28/1994,Professional Workers,Institut Bisnis dan Informatika Kwik Kian Gie Jakarta,Domain Expert,49,40,68,52,No
Male,No,1/24/1998,Active Student or Fresh Graduate,(UNAIR) Universitas Airlangga,Design,46,50,68,54,No
Male,Yes,4/4/1999,Active Student or Fresh Graduate,Politeknik Elektronika Negeri Surabaya,Tech / IT / IS,63,60,80,67,No
Male,No,12/24/1999,Active Student or Fresh Graduate,International Design School,Design,47,73,54,57,No
Female,No,8/16/1999,Active Student or Fresh Graduate,,Domain Expert,40,40,64,47,No
Male,No,9/16/1999,Active Student or Fresh Graduate,(UKP) Universitas Kristen Petra,Tech / IT / IS,72,60,58,64,No
Male,No,12/14/1989,Professional Workers,(ITS) Institut Teknologi Sepuluh Nopember,Design,51,60,78,62,No
Female,No,2/6/1998,Professional Workers,Universitas Airlangga,Domain Expert,43,20,90,50,No
Male,Yes,2/28/1994,Professional Workers,(UC) Universitas Ciputra Surabaya,Domain Expert,33,20,70,40,No
Male,No,5/22/1986,Professional Workers,UPN Veteran Jawa Timur,Tech / IT / IS,52,47,82,59,No
Male,No,8/21/1995,Professional Workers,Telkom University,Tech / IT / IS,59,20,66,49,No
Male,,9/28/1999,Active Student or Fresh Graduate,(UNPAD) Universitas Padjadjaran,Domain Expert,40,20,60,40,No
Male,No,4/22/2001,Active Student or Fresh Graduate,(UB) Universitas Brawijaya Malang,Domain Expert,42,20,64,42,No
Female,No,8/21/1999,Active Student or Fresh Graduate,Institut Teknologi Sepuluh Nopember Surabaya (ITS Surabaya),Domain Expert,52,20,66,47,No
Male,Yes,2/18/2001,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Tech / IT / IS,53,53,58,55,No
Male,No,7/27/1989,Professional Workers,Politeknik Elektronika Negeri Surabaya,Tech / IT / IS,72,53,78,68,No
Male,No,6/19/2000,Active Student or Fresh Graduate,(ISTTS) Institut Sains dan Tekologi Terpadu Surabaya,Tech / IT / IS,71,40,62,59,No
Female,Yes,10/27/1998,Active Student or Fresh Graduate,(UC) Universitas Ciputra Surabaya,Design,39,40,72,49,No
Male,No,9/13/1999,Active Student or Fresh Graduate,(PENS) Politeknik Elektronika Negeri Surabaya,Tech / IT / IS,64,47,60,58,No
Male,No,7/30/1997,Active Student or Fresh Graduate,Politeknik Energi dan Mineral Akamigas,Domain Expert,47,20,70,46,No
Male,No,8/18/1997,Active Student or Fresh Graduate,Universitas Padjadjaran,Design,41,60,66,54,No
Male,No,3/25/1999,Active Student or Fresh Graduate,STMIK Primakara Bali,Tech / IT / IS,54,60,80,64,No
Female,No,3/23/2002,Active Student or Fresh Graduate,SMA Kristen Gloria 1,Design,50,40,60,50,No
Female,No,7/6/1999,Active Student or Fresh Graduate,Universitas Pelita Harapan,Domain Expert,53,20,64,46,No
Male,,1/20/2000,Active Student or Fresh Graduate,Universitas Negeri Yogyakarta,Tech / IT / IS,64,80,58,67,No
Male,Yes,1/16/1992,Professional Workers,(UC) Universitas Ciputra Surabaya,Domain Expert,28,80,64,54,No
Female,No,10/12/1999,Active Student or Fresh Graduate,Universitas Kristen Petra,Design,50,63,54,55,No
Male,No,3/10/1999,Active Student or Fresh Graduate,(UNAIR) Universitas Airlangga Surabaya,Domain Expert,56,20,86,54,No
Male,No,6/4/1997,Active Student or Fresh Graduate,"(UPN V YK) Universitas Pembangunan Nasional ""Veteran"" Yogyakarta",Design,55,63,76,64,No
Male,No,2/11/1977,Professional Workers,Sekolah Tinggi Teknik Surabaya,Domain Expert,55,60,58,57,No
